HashTag,CreatedTime,LastModifiedTime,State
lenditfintechlatam2021,2021-12-06 21:49:55,2021-12-06 21:49:55,Follow
crossborderpayments,2020-02-29 22:09:37,2020-02-29 22:09:37,Follow
payments,2020-02-29 22:08:57,2020-02-29 22:08:57,Follow
digitalbanks,2020-02-29 22:08:55,2020-02-29 22:08:55,Follow
fintech,2020-02-29 22:08:50,2020-02-29 22:08:50,Follow
remittances,2020-02-29 22:08:36,2020-02-29 22:08:36,Follow
banks,2020-02-11 16:28:25,2020-02-11 16:28:25,Follow
kyc,2020-02-11 16:28:19,2020-02-11 16:28:19,Follow
caribbean,2020-02-11 16:28:18,2020-02-11 16:28:18,Follow
bankingtech,2020-02-11 16:28:16,2020-02-11 16:28:16,Follow
machinelearning,2019-01-03 21:57:50,2019-01-03 21:57:50,Follow
hmqgeo,2018-11-26 19:52:27,2018-11-26 19:52:27,Follow
artificialintelligence,2018-03-15 18:40:11,2018-03-15 18:40:11,Follow
bitcoin,2018-03-15 18:40:10,2018-03-15 18:40:10,Follow
venturecapital,2017-12-27 18:15:43,2017-12-27 18:15:43,Follow
future,2017-12-27 18:15:42,2017-12-27 18:15:42,Follow
